scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,coupon_shortfall_usd,coupon_shortfall_flag,unpaid_claims_usd,unpaid_claims_flag,liquidity_leakage_ratio,liquidity_leakage_flag,household_cash_stress_ratio,household_cash_stress_flag,realized_edge_top_share,concentration_flag,realized_largest_component_share,potential_largest_component_share
mutual_aid_only,1,102,0.0,52,52,0.0,0,0.0,0,0.7035342794327141,1,0.30833333333333335,1,0.012441679626749611,0,1.0,1.0
mutual_aid_only,2,103,0.0,52,52,0.0,0,0.0,0,0.7290546465875499,1,0.25833333333333336,1,0.013821024710316907,0,1.0,1.0
mutual_aid_only,1,100102,0.06,52,52,0.0,0,0.0,0,0.7236423080811301,1,0.4166666666666667,1,0.013793103448275862,0,1.0,1.0
mutual_aid_only,2,100103,0.06,52,52,0.0,0,0.0,0,0.7368956014145189,1,0.35,1,0.013182439995025495,0,1.0,1.0
mutual_aid_only,1,200102,0.12,52,52,0.0,0,0.0,0,0.717408984609223,1,0.3416666666666667,1,0.013029315960912053,0,1.0,1.0
mutual_aid_only,2,200103,0.12,52,52,0.0,0,0.0,0,0.7586989437827854,1,0.36666666666666664,1,0.01410238330277817,0,1.0,1.0
sarafu_like_pools,1,1000102,0.0,52,52,0.0,0,0.0,0,0.707534029618583,1,0.24193548387096775,1,0.013279053988562566,0,1.0,1.0
sarafu_like_pools,2,1000103,0.0,52,52,0.0,0,622.3834288448234,1,0.7069393587505436,1,0.3548387096774194,1,0.013232323232323233,0,0.9758064516129032,1.0
sarafu_like_pools,1,1100102,0.06,52,52,0.0,0,143.757243406472,1,0.5669844437023729,1,0.49193548387096775,1,0.013597033374536464,0,1.0,1.0
sarafu_like_pools,2,1100103,0.06,52,52,0.0,0,0.0,0,0.7488737732552094,1,0.3467741935483871,1,0.011358855700462769,0,0.9758064516129032,1.0
sarafu_like_pools,1,1200102,0.12,52,52,0.0,0,196.0330349005343,1,0.5654240500178799,1,0.49193548387096775,1,0.014579671181883982,0,0.9838709677419355,1.0
sarafu_like_pools,2,1200103,0.12,52,52,0.0,0,0.0,0,0.7209509356881376,1,0.2903225806451613,1,0.016317308899209237,0,0.9758064516129032,1.0
regenbond_lp_injection,1,2000102,0.0,52,52,0.0,0,0.0,0,0.05817721039610243,1,0.24,1,0.015559857057772483,0,0.992,0.992
regenbond_lp_injection,2,2000103,0.0,52,52,0.0,0,0.0,0,0.04102801877796013,0,0.264,1,0.01584171879249388,0,0.992,0.992
regenbond_lp_injection,1,2100102,0.06,52,52,0.0,0,0.0,0,0.07559541207472918,1,0.216,1,0.015363128491620111,0,0.992,0.992
regenbond_lp_injection,2,2100103,0.06,52,52,0.0,0,0.0,0,0.05934644712186366,1,0.224,1,0.014058921096279915,0,0.992,0.992
regenbond_lp_injection,1,2200102,0.12,52,52,0.0,0,0.0,0,0.06058075057772731,1,0.232,1,0.016907553858740116,0,0.992,0.992
regenbond_lp_injection,2,2200103,0.12,52,52,0.0,0,0.0,0,0.044864432634553725,0,0.256,1,0.01816083108888034,0,0.992,0.992
stress_weak_pool_repayment,1,3000102,0.0,52,52,0.0,0,0.0,0,0.06647797771514455,1,0.216,1,0.018397324025596278,0,0.992,0.992
stress_weak_pool_repayment,2,3000103,0.0,52,52,0.0,0,0.0,0,0.060061009552575054,1,0.224,1,0.0189657967255633,0,0.992,0.992
stress_weak_pool_repayment,1,3100102,0.06,52,52,0.0,0,0.0,0,0.049537910924902326,0,0.256,1,0.017859586697687148,0,0.992,0.992
stress_weak_pool_repayment,2,3100103,0.06,52,52,0.0,0,0.0,0,0.03705480149935896,0,0.264,1,0.014200194904635945,0,0.992,0.992
stress_weak_pool_repayment,1,3200102,0.12,52,52,0.0,0,0.0,0,0.05964212715505971,1,0.224,1,0.015545261835597079,0,0.992,0.992
stress_weak_pool_repayment,2,3200103,0.12,52,52,0.0,0,0.0,0,0.06590526392143511,1,0.224,1,0.017395250340341853,0,0.992,0.992
stress_cash_stable_leakage,1,4000102,0.0,52,52,0.0,0,0.0,0,0.052302972306109,1,0.256,1,0.017980746280531465,0,0.992,0.992
stress_cash_stable_leakage,2,4000103,0.0,52,52,0.0,0,0.0,0,0.0592896432026033,1,0.248,1,0.02400674950145728,0,0.992,0.992
stress_cash_stable_leakage,1,4100102,0.06,52,52,0.0,0,0.0,0,0.05342514882275728,1,0.24,1,0.022181417554168196,0,0.992,0.992
stress_cash_stable_leakage,2,4100103,0.06,52,52,0.0,0,0.0,0,0.052114731136934773,1,0.264,1,0.014819933962988559,0,0.992,0.992
stress_cash_stable_leakage,1,4200102,0.12,52,52,0.0,0,0.0,0,0.05978906716844923,1,0.224,1,0.016880227115783013,0,0.992,0.992
stress_cash_stable_leakage,2,4200103,0.12,52,52,1991.5793621811026,1,0.0,0,0.059584388738918644,1,0.264,1,0.02133649429545118,0,0.992,0.992
stress_high_coupon,1,5000102,0.12,52,52,0.0,0,0.0,0,0.052186190852996875,1,0.256,1,0.017645357246167198,0,0.992,0.992
stress_high_coupon,2,5000103,0.12,52,52,0.0,0,0.0,0,0.051550327934952164,1,0.224,1,0.01963022141063684,0,0.992,0.992
stress_high_coupon,1,5100102,0.12,52,52,0.0,0,0.0,0,0.04776024802035988,0,0.264,1,0.01770729078450997,0,0.992,0.992
stress_high_coupon,2,5100103,0.12,52,52,0.0,0,0.0,0,0.035758610440223104,0,0.264,1,0.01916605705925384,0,0.992,0.992
stress_high_coupon,1,5200102,0.12,52,52,0.0,0,0.0,0,0.05741808792363115,1,0.208,1,0.020947246823257604,0,0.992,0.992
stress_high_coupon,2,5200103,0.12,52,52,0.0,0,0.0,0,0.06537733359902749,1,0.224,1,0.01751057930833212,0,0.992,0.992
stress_low_fee_conversion,1,6000102,0.0,52,52,0.0,0,0.0,0,0.0642929630685233,1,0.232,1,0.013758414083881943,0,0.992,0.992
stress_low_fee_conversion,2,6000103,0.0,52,52,0.0,0,0.0,0,0.05717660548656724,1,0.28,1,0.016433907112698928,0,0.992,0.992
stress_low_fee_conversion,1,6100102,0.06,52,52,0.0,0,0.0,0,0.06685525304236777,1,0.2,0,0.027007029226785054,0,0.992,0.992
stress_low_fee_conversion,2,6100103,0.06,52,52,0.0,0,0.0,0,0.05580166150701025,1,0.216,1,0.018991534781008464,0,0.992,0.992
stress_low_fee_conversion,1,6200102,0.12,52,52,1744.1939949585358,1,0.0,0,0.04638299527947986,0,0.248,1,0.01458509250019191,0,0.992,0.992
stress_low_fee_conversion,2,6200103,0.12,52,52,0.0,0,0.0,0,0.05576786231552893,1,0.232,1,0.01834862385321101,0,0.992,0.992
stress_governance_diversion,1,7000102,0.0,52,52,0.0,0,0.0,0,0.07278388679515661,1,0.264,1,0.020995046943150734,0,0.992,0.992
stress_governance_diversion,2,7000103,0.0,52,52,0.0,0,0.0,0,0.059612250245724654,1,0.232,1,0.019071791153009426,0,0.992,0.992
stress_governance_diversion,1,7100102,0.06,52,52,0.0,0,0.0,0,0.0759741059866529,1,0.232,1,0.022723771375751038,0,0.992,0.992
stress_governance_diversion,2,7100103,0.06,52,52,0.0,0,0.0,0,0.050510865797476254,1,0.24,1,0.02830728953612043,0,0.992,0.992
stress_governance_diversion,1,7200102,0.12,52,52,20620.45478718218,1,0.0,0,0.06161254858861562,1,0.208,1,0.019065420560747663,0,0.992,0.992
stress_governance_diversion,2,7200103,0.12,52,52,0.0,0,0.0,0,0.057777005636876946,1,0.248,1,0.016231629743364773,0,0.992,0.992
stress_liquidity_concentration,1,8000102,0.0,52,52,0.0,0,0.0,0,0.061247428095937875,1,0.3360655737704918,1,0.01041116559788759,0,0.9918032786885246,0.9918032786885246
stress_liquidity_concentration,2,8000103,0.0,52,52,0.0,0,0.0,0,0.05228821046854739,1,0.2786885245901639,1,0.012726506531816267,0,0.9918032786885246,0.9918032786885246
stress_liquidity_concentration,1,8100102,0.06,52,52,0.0,0,0.0,0,0.06134395583020773,1,0.2786885245901639,1,0.009729203826820172,0,0.9918032786885246,0.9918032786885246
stress_liquidity_concentration,2,8100103,0.06,52,52,0.0,0,0.0,0,0.053421633805327724,1,0.319672131147541,1,0.009479475243334744,0,0.9918032786885246,0.9918032786885246
stress_liquidity_concentration,1,8200102,0.12,52,52,25819.565909078705,1,0.0,0,0.06064761695359908,1,0.2459016393442623,1,0.011370765370138017,0,0.9918032786885246,0.9918032786885246
stress_liquidity_concentration,2,8200103,0.12,52,52,0.0,0,0.0,0,0.05850063969009879,1,0.29508196721311475,1,0.01096614103898183,0,0.9918032786885246,0.9918032786885246
