template_id,tier,score,swap_events,recent_swap_weeks_90d,active_weeks,swaps_per_active_week,total_users,backing_inflow,tagged_voucher_tokens,verified_report_exposure,approved_report_exposure,period_aligned_verified_exposure,same_token_return_rate,same_token_out_value,same_token_matched_later_in_value,borrow_proxy_matured_events,borrow_proxy_matured_return_rate,rosca_proxy_value_return_rate,debt_removal_purchase_events
pool_template_094,weak,78.44,2,1,1,2.00,2,110.000000,22,1,1,0,0.000000,110.000000,0.000000,0,0.000000,0.000000,0
pool_template_095,weak,78.07,8,1,1,8.00,4,1111.280000,3,2,4,0,0.099453,1111.280000,110.520000,0,0.000000,0.000000,1
pool_template_096,weak,78.06,1,1,1,1.00,1,25.000000,2,0,0,0,0.000000,25.000000,0.000000,0,0.000000,0.000000,0
pool_template_097,weak,66.26,7,1,3,2.33,3,4300.000000,9,8,34,0,0.099103,2018.110236,200.000000,0,0.000000,0.000000,0
pool_template_098,weak,66.02,64,1,9,7.11,7,32687.063664,0,39,214,27,0.642199,8527.619994,5476.428235,28,0.464286,0.264757,0
pool_template_099,weak,65.80,3,1,3,1.00,1,3099.000000,12,8,17,0,0.404484,123.614173,50.000000,1,0.000000,0.000000,0
pool_template_100,weak,65.45,47,5,5,9.40,6,946.987480,8,6,21,1,0.088912,536.483501,47.700000,0,0.000000,0.258107,2
pool_template_101,weak,54.94,1,1,1,1.00,1,1000.000000,13,6,24,0,0.000000,7.874015,0.000000,0,0.000000,0.000000,0
pool_template_102,weak,52.50,5,1,1,5.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_103,weak,46.50,3,1,1,3.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_104,weak,45.08,3,1,1,3.00,3,1500.000000,2,0,0,0,0.666667,1500.000000,1000.000000,0,0.000000,0.000000,0
pool_template_105,weak,42.99,3,1,1,3.00,3,60.000000,2,0,0,0,0.500000,60.000000,30.000000,0,0.000000,0.000000,0
pool_template_106,weak,42.85,78,0,31,2.52,14,11255.000000,16,45,164,2,0.026406,11717.940000,309.420000,73,0.219178,0.576822,0
pool_template_107,weak,40.77,12,3,5,2.40,2,1708.590000,4,0,7,0,0.986239,566.628806,558.831576,0,0.000000,0.000000,0
pool_template_108,weak,40.50,1,1,1,1.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_109,weak,40.50,1,1,1,1.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_110,weak,39.62,120,0,20,6.00,9,950.000000,9,1,24,0,0.047958,15117.300000,725.000000,84,0.297619,0.659796,1
pool_template_111,weak,38.12,58,0,35,1.66,7,1500.000000,10,28,178,0,0.208276,14442.359230,3008.000000,14,1.000000,1.000000,3
pool_template_112,weak,30.79,0,0,1,0.00,1,7.000000,2,0,1,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_113,weak,30.20,20,0,1,20.00,12,1000.000000,43,52,91,0,0.520000,1000.000000,520.000000,0,0.000000,0.000000,0
pool_template_114,weak,28.08,27,0,9,3.00,9,4246.280000,12,48,167,4,0.754076,2089.669730,1575.770000,19,0.052632,0.048042,0
pool_template_115,weak,27.94,0,0,1,0.00,1,1000.000000,2,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_116,weak,26.15,14,0,9,1.56,6,26885.030000,12,19,67,3,0.253498,2774.421612,703.310000,6,0.000000,0.000000,3
pool_template_117,weak,25.87,11,0,3,3.67,5,52.200000,44,0,1,0,0.051724,52.200000,2.700000,0,0.000000,0.000000,0
pool_template_118,weak,24.86,23,0,1,23.00,3,7160.000000,13,6,12,0,0.519553,7160.000000,3720.000000,0,0.000000,0.000000,0
pool_template_119,weak,23.89,0,0,1,0.00,2,150.000000,1,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_120,weak,22.69,0,0,1,0.00,1,0.000000,3,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_121,weak,20.74,0,0,1,0.00,1,5000.000000,1,0,1,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_122,weak,20.44,0,0,1,0.00,1,0.000000,2,0,2,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_123,weak,20.24,9,0,1,9.00,2,1800.000000,12,0,0,0,0.111111,1800.000000,200.000000,0,0.000000,0.000000,0
pool_template_124,weak,19.99,23,0,3,7.67,5,3193.000000,9,0,25,0,0.619780,193.617187,120.000000,6,0.000000,0.000000,0
pool_template_125,weak,19.06,2,0,1,2.00,2,17600.000000,24,3,10,0,0.000000,132.198496,0.000000,2,0.000000,0.000000,0
pool_template_126,weak,17.75,0,0,1,0.00,1,50.000000,1,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_127,weak,16.94,0,0,1,0.00,1,10.000000,1,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_128,weak,16.69,0,0,1,0.00,1,1000.000000,1,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_129,weak,16.69,0,0,1,0.00,1,1000.000000,1,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_130,weak,15.16,9,0,3,3.00,3,3125.000000,11,9,9,0,0.093770,2132.874015,200.000000,1,1.000000,1.000000,0
pool_template_131,weak,13.62,7,0,1,7.00,1,1400.000000,10,0,0,0,0.000000,1400.000000,0.000000,0,0.000000,0.000000,0
pool_template_132,weak,13.55,15,0,5,3.00,9,74983.477700,2,1,9,1,0.578117,13032.777923,7534.471000,6,0.666667,0.987717,5
pool_template_133,weak,11.28,4,0,2,2.00,1,600.000000,13,5,5,2,0.000000,600.000000,0.000000,4,0.000000,0.000000,0
pool_template_134,weak,10.41,10,0,3,3.33,3,30658.370000,4,3,5,0,0.016346,15500.196154,253.370000,5,0.000000,0.000000,2
pool_template_135,weak,10.18,12,0,2,6.00,8,88.000000,10,0,6,0,0.294020,72.240000,21.240000,2,0.000000,0.000000,2
pool_template_136,weak,9.95,4,0,1,4.00,4,4000.000000,1,0,0,0,0.000000,29.600000,0.000000,4,0.000000,0.000000,0
pool_template_137,weak,7.95,9,0,6,1.50,3,1520.000000,7,39,47,5,0.236974,1996.000000,473.000000,1,1.000000,1.000000,1
pool_template_138,weak,6.32,16,0,7,2.29,3,7690.640000,7,3,22,0,0.279976,1049.948915,293.960000,9,0.222222,0.102109,1
pool_template_139,weak,5.92,8,0,10,0.80,4,310.880000,2,0,11,0,0.000000,238.849000,0.000000,8,0.375000,0.369899,0
pool_template_140,weak,5.67,0,0,1,0.00,1,50.000000,2,0,1,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_141,weak,5.41,2,0,1,2.00,2,1.000000,3,0,0,0,0.000000,2.000000,0.000000,0,0.000000,0.000000,0
pool_template_142,weak,4.76,6,0,6,1.00,4,1180.000000,6,0,1,0,0.002040,980.200000,2.000000,3,0.333333,0.014451,2
pool_template_143,weak,4.62,8,0,5,1.60,3,9999.900000,2,1,20,0,0.500250,8004.000000,4004.000000,3,0.333333,0.500250,5
pool_template_144,weak,4.50,0,0,1,0.00,1,0.000000,1,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_145,weak,2.89,6,0,2,3.00,3,18.000000,1,0,1,0,0.007153,13.980250,0.100000,2,1.000000,1.000000,0
pool_template_146,weak,1.97,3,0,1,3.00,1,1296.000000,2,2,1,0,0.461420,1296.000000,598.000000,0,0.000000,0.000000,0
pool_template_147,weak,1.71,7,0,5,1.40,3,6.910000,5,0,1,0,0.686377,5.708718,3.918333,3,0.000000,0.131693,1
pool_template_148,weak,-1.57,2,0,1,2.00,2,500.000000,5,0,2,0,0.500000,999.800000,499.900000,1,0.000000,0.500000,1
pool_template_149,weak,-1.65,5,0,1,5.00,2,10.000000,3,0,13,0,0.094737,9.183333,0.870000,2,0.000000,0.000000,0
pool_template_150,weak,-1.82,1,0,1,1.00,1,50.000000,1,2,1,0,0.000000,1.000000,0.000000,1,1.000000,1.000000,0
pool_template_151,weak,-2.31,2,0,2,1.00,1,11.000000,5,39,47,3,0.000000,1.100000,0.000000,1,0.000000,0.000000,0
pool_template_152,weak,-2.66,1,0,1,1.00,1,200000.000000,2,1,2,0,0.000000,50.000000,0.000000,0,0.000000,0.000000,0
pool_template_153,weak,-3.13,2,0,2,1.00,1,10.010000,4,13,77,0,0.000000,10.007692,0.000000,2,1.000000,1.000000,0
pool_template_154,weak,-3.66,3,0,5,0.60,4,1922.730000,3,0,0,0,0.185687,268.840000,49.920000,1,0.000000,0.000000,1
pool_template_155,weak,-4.21,4,0,2,2.00,2,1000025.050000,1,0,0,0,0.013765,181.624250,2.500000,1,0.000000,0.000000,1
pool_template_156,weak,-4.29,2,0,2,1.00,1,500.000000,2,0,1,0,0.090009,11.110000,1.000000,1,1.000000,1.000000,1
pool_template_157,weak,-4.70,1,0,2,0.50,1,0.000000,3,0,0,0,0.000000,3.400000,0.000000,0,0.000000,0.000000,0
pool_template_158,weak,-4.79,3,0,3,1.00,2,12.000000,3,1,20,0,0.142857,7.000000,1.000000,0,0.000000,0.000000,0
pool_template_159,weak,-4.79,1,0,1,1.00,3,15.000000,3,0,0,0,0.000000,1.150000,0.000000,0,0.000000,0.000000,0
pool_template_160,weak,-5.26,2,0,2,1.00,2,1000.000000,1,0,1,0,0.500000,1000.000000,500.000000,1,0.000000,0.000000,1
pool_template_161,weak,-5.42,4,0,2,2.00,2,200.000000,1,0,1,0,0.609756,41.000000,25.000000,2,1.000000,1.000000,2
pool_template_162,weak,-5.43,1,0,1,1.00,1,25.000000,1,0,0,0,0.000000,250.000000,0.000000,1,0.000000,0.000000,0
pool_template_163,weak,-5.45,1,0,1,1.00,1,0.000000,2,0,0,0,0.000000,18.420000,0.000000,1,0.000000,0.000000,0
pool_template_164,weak,-5.77,2,0,2,1.00,2,5.990000,3,0,0,0,0.400000,2.500000,1.000000,0,0.000000,0.000000,0
pool_template_165,weak,-5.86,2,0,3,0.67,2,500.000000,1,0,0,0,0.992366,393.000000,390.000000,1,0.000000,0.500000,1
pool_template_166,weak,-6.13,4,0,4,1.00,4,0.000000,2,0,1,0,0.001000,200.090000,0.200000,0,0.000000,0.000000,0
pool_template_167,weak,-6.19,1,0,1,1.00,1,0.000000,1,0,0,0,0.000000,0.000000,0.000000,1,0.000000,0.000000,0
pool_template_168,weak,-6.21,2,0,1,2.00,2,11.000000,2,1,20,0,0.500000,1.992620,0.996310,0,0.000000,0.000000,0
pool_template_169,weak,-6.31,2,0,1,2.00,2,1000.000000,1,0,0,0,0.500000,860.000000,430.000000,1,0.000000,0.000000,1
pool_template_170,weak,-6.45,3,0,1,3.00,2,700.000000,1,0,0,0,0.500000,800.000000,400.000000,1,0.000000,0.000000,2
pool_template_171,weak,-6.54,0,0,1,0.00,1,1.000000,0,0,5,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_172,weak,-6.54,0,0,1,0.00,1,1.000000,0,13,64,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_173,weak,-6.87,2,0,1,2.00,2,10000.000000,1,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.000000,1
pool_template_174,weak,-7.35,4,0,2,2.00,3,5.000000,1,0,1,0,0.943396,2.120000,2.000000,0,0.000000,1.000000,1
pool_template_175,weak,-7.50,3,0,1,3.00,1,130.870000,1,1,9,0,0.992358,130.870128,129.870000,2,0.000000,0.000000,1
pool_template_176,weak,-7.87,1,0,1,1.00,1,2.000000,1,0,1,0,0.000000,1.600000,0.000000,1,0.000000,0.000000,0
pool_template_177,weak,-8.00,1,0,2,0.50,2,524.110000,1,0,0,0,0.000000,500.000000,0.000000,0,0.000000,0.000000,1
pool_template_178,weak,-8.75,1,0,2,0.50,2,500.000000,1,0,0,0,0.000000,2.000000,0.000000,0,0.000000,0.000000,1
pool_template_179,weak,-9.18,1,0,1,1.00,2,20.000000,1,0,0,0,0.000000,0.040000,0.000000,0,0.000000,0.000000,1
pool_template_180,weak,-9.71,3,0,2,1.50,2,100.000000,1,15,15,0,0.000000,3349.979230,0.000000,1,1.000000,1.000000,0
pool_template_181,weak,-9.74,1,0,2,0.50,2,500.000000,1,0,0,0,0.000000,1.000000,0.000000,0,0.000000,0.000000,1
pool_template_182,weak,-10.84,1,0,1,1.00,1,2.000000,1,0,1,0,0.000000,2.000000,0.000000,1,0.000000,0.000000,0
pool_template_183,weak,-11.19,10,0,6,1.67,2,200.000000,0,0,1,0,0.240104,13.172627,3.162800,5,1.000000,1.000000,5
pool_template_184,weak,-13.62,3,0,6,0.50,4,50105.000000,0,0,1,0,0.662252,302.000000,200.000000,1,0.000000,0.000000,2
pool_template_185,weak,-15.67,4,0,4,1.00,4,700.000000,0,0,0,0,0.929653,212.873163,197.898088,2,0.500000,0.875326,2
pool_template_186,weak,-16.17,4,0,1,4.00,2,500.000000,0,0,0,0,0.750000,20.000000,15.000000,2,0.500000,0.750000,2
pool_template_187,weak,-17.12,0,0,1,0.00,1,90.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_188,weak,-17.65,4,0,2,2.00,3,4.000000,0,4,47,0,0.000000,4.000000,0.000000,4,1.000000,1.000000,0
pool_template_189,weak,-18.01,2,0,1,2.00,2,1000.000000,0,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.000000,1
pool_template_190,weak,-18.37,2,0,2,1.00,2,100.000000,0,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.000000,1
pool_template_191,weak,-18.50,2,0,2,1.00,1,1000.000000,0,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.500000,1
pool_template_192,weak,-18.50,2,0,1,2.00,2,100.000000,0,0,0,0,0.927536,69.000000,64.000000,1,0.000000,0.000000,1
pool_template_193,weak,-18.56,2,0,1,2.00,2,0.000000,0,0,0,0,0.000000,100.000000,0.000000,0,0.000000,0.000000,0
pool_template_194,weak,-18.56,2,0,1,2.00,2,0.000000,0,0,0,0,0.000000,20.000000,0.000000,0,0.000000,0.000000,0
pool_template_195,weak,-18.62,2,0,2,1.00,2,0.000000,0,0,0,0,0.000000,0.970000,0.000000,0,0.000000,0.000000,0
pool_template_196,weak,-18.76,1,0,1,1.00,2,700.000000,0,0,0,0,0.000000,100.000000,0.000000,0,0.000000,0.000000,0
pool_template_197,weak,-18.77,2,0,2,1.00,1,27.000000,0,0,0,0,0.000000,28.000000,0.000000,1,0.000000,0.000000,0
pool_template_198,weak,-19.01,2,0,1,2.00,1,2.000000,0,0,0,0,0.000000,4.000000,0.000000,0,0.000000,0.000000,0
pool_template_199,weak,-19.47,2,0,1,2.00,1,112.000000,0,0,1,0,0.090909,11.000000,1.000000,0,0.000000,0.000000,0
pool_template_200,weak,-19.69,2,0,1,2.00,1,100.000000,0,0,2,0,0.090909,11.000000,1.000000,0,0.000000,0.000000,0
pool_template_201,weak,-19.80,2,0,1,2.00,1,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0,0.000000,0.000000,0
pool_template_202,weak,-20.49,2,0,1,2.00,1,2.000000,0,0,1,0,0.000000,1.999922,0.000000,0,0.000000,0.000000,0
pool_template_203,weak,-20.79,1,0,1,1.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
