metric,value,claim_boundary
accepted_voucher_member_slots,1247.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
cohort_lender_pools,73.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
identified_producer_addresses,213.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
pool_interactor_address_slots,950.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
producer_stable_users,69.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
recommended_consumer_wallets,462.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
recommended_lender_pool_wallets,73.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
recommended_producer_wallets,996.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_deposit_events,39.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_deposit_external_nonproducer_users,11.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_deposit_producer_users,2.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_deposit_users,13.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_external_nonproducer_users,462.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_involved_swap_events,2818.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_involved_swap_users,535.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_to_voucher_events,441.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_to_voucher_external_events,431.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_to_voucher_external_users,169.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_to_voucher_producer_self_events,10.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_to_voucher_producer_self_users,4.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
stable_to_voucher_users,171.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
unique_pool_interactor_addresses,733.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
unique_producer_voucher_wallets,996.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
voucher_to_stable_events,2148.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
voucher_to_stable_external_events,1751.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
voucher_to_stable_external_users,471.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
voucher_to_stable_producer_self_events,397.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
voucher_to_stable_producer_self_users,58.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
voucher_to_stable_users,508.0,"Privacy-safe actor-role split for the Kenyan community-pool cohort. Producer wallets are unique KES/KSh voucher tokens; accepted-voucher members are pool membership slots. Stable external users exclude addresses linked to cohort voucher issuer targets where metadata is available, so producer/consumer separation is conservative."
